mob_name,family,resolved_flags,resolved_from,mob_page_flags,family_page_flags,sighting_flags,ge_aggressive,flags_gloss
Young Raptor,Raptor,"A, S, L",family-page,,"A, S, L",A,x,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight; links - helps other mobs of its own kind"
Zahar'ak Chandler,Amalj'aa,"A, S",family-page,,"A, S",A,Y,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight"
Zahar'ak Drubber,Amalj'aa,"A, S",family-page,,"A, S",A,Yes,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight"
Zahar'ak Feretrar,Amalj'aa,"A, S",family-page,,"A, S",A,^,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight"
Zahar'ak Halberdier,Amalj'aa,"A, S",family-page,,"A, S",A,Y,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight"
Zahar'ak Illuminator,Amalj'aa,"A, S",family-page,,"A, S",A,^,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight"
Zahar'ak Ostiary,Amalj'aa,"A, S",family-page,,"A, S",A,Y,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight"
Zahar'ak Scriniary,Amalj'aa,"A, S",family-page,,"A, S",A,Y,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight"
Zahar'ak Sniper,Amalj'aa,"A, S",family-page,,"A, S",A,Y,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by sight"
Zanig'oh,Drake,"A, H",family-page,,"A, H",,x,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; detects players by hearing - triggers when a player passes nearby at a non-walking rate of movement"
Zikko,Imp,,,,,,,
Zombie Mage,Fomor,"A, P",sighting-conflict,,,"A, P",Y,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight; passive - does not attack unless engaged"
Zombie Pikeman,Fomor,A,sighting,,,A,Y,"aggressive - attacks on sight unless the player is far enough above it in level, or is out of its line of sight"
